Date,Measure,Count,Reporting,Missing
2021-05-09,Staff.Deaths,193,43,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
 Oklahoma, Pennsylvania, Utah, Wisconsin, ICE"
2021-05-16,Staff.Deaths,193,42,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
 Oklahoma, Oregon, Pennsylvania, Utah, Wisconsin
 ICE"
2021-05-23,Staff.Deaths,194,41,"Arizona, Maine, Massachusetts, Mississippi, Nebraska
 New Jersey, Oklahoma, Oregon, Pennsylvania, Utah
 Wisconsin, ICE"
2021-05-30,Staff.Deaths,195,42,"Arizona, Maine, Massachusetts, Mississippi, Nebraska
 New Jersey, Oklahoma, Pennsylvania, Utah, Wisconsin
 ICE"
2021-06-06,Staff.Deaths,195,42,"Arizona, Maine, Massachusetts, Mississippi, Nebraska
 New Jersey, Oklahoma, Pennsylvania, Utah, Wisconsin
 ICE"
2021-06-13,Staff.Deaths,195,40,"Arizona, Delaware, Maine, Massachusetts, Mississippi
 Nebraska, New Jersey, Oklahoma, Pennsylvania, Utah
 Wisconsin, Wyoming, ICE"
2021-06-20,Staff.Deaths,168,38,"Arizona, California, Delaware, Hawaii, Maine
 Massachusetts, Mississippi, Nebraska, New Jersey, Oklahoma
 Pennsylvania, Utah, Wisconsin, Wyoming, ICE"
2021-06-27,Staff.Deaths,149,25,"Alaska, Arizona, Arkansas, California, Colorado
 Connecticut, Delaware, Hawaii, Idaho, Illinois
 Maine, Massachusetts, Minnesota, Mississippi, Nebraska
 New Hampshire, New Jersey, New Mexico, North Carolina, Oklahoma
 Oregon, Pennsylvania, Utah, Vermont, West Virginia
 Wisconsin, Wyoming, ICE"
2021-07-04,Staff.Deaths,150,25,"Alaska, Arizona, Arkansas, California, Colorado
 Connecticut, Delaware, Hawaii, Idaho, Illinois
 Maine, Massachusetts, Minnesota, Mississippi, Nebraska
 New Hampshire, New Jersey, New Mexico, North Carolina, Oklahoma
 Oregon, Pennsylvania, Utah, Vermont, West Virginia
 Wisconsin, Wyoming, ICE"
2021-07-11,Staff.Deaths,141,23,"Alaska, Arizona, Arkansas, California, Colorado
 Connecticut, Delaware, Hawaii, Idaho, Illinois
 Louisiana, Maine, Massachusetts, Minnesota, Mississippi
 Nebraska, Nevada, New Hampshire, New Jersey, New Mexico
 North Carolina, Oklahoma, Oregon, Pennsylvania, Utah
 Vermont, West Virginia, Wisconsin, Wyoming, ICE"
2021-07-18,Staff.Deaths,139,22,"Alaska, Arizona, Arkansas, California, Colorado
 Connecticut, Delaware, Georgia, Hawaii, Idaho
 Illinois, Louisiana, Maine, Massachusetts, Minnesota
 Mississippi, Nebraska, New Hampshire, New Jersey, New Mexico
 North Carolina, Oklahoma, Oregon, Pennsylvania, Rhode Island
 Utah, Vermont, West Virginia, Wisconsin, Wyoming
 ICE"
2021-07-25,Staff.Deaths,142,23,"Alaska, Arizona, Arkansas, California, Colorado
 Connecticut, Delaware, Georgia, Hawaii, Idaho
 Illinois, Louisiana, Maine, Massachusetts, Minnesota
 Mississippi, Nebraska, New Hampshire, New Jersey, New Mexico
 North Carolina, Oklahoma, Oregon, Pennsylvania, Utah
 Vermont, West Virginia, Wisconsin, Wyoming, ICE"
2021-08-01,Staff.Deaths,143,23,"Alaska, Arizona, Arkansas, California, Colorado
 Connecticut, Delaware, Georgia, Hawaii, Idaho
 Illinois, Louisiana, Maine, Massachusetts, Minnesota
 Mississippi, Nebraska, New Hampshire, New Jersey, New Mexico
 North Carolina, Oklahoma, Oregon, Pennsylvania, Utah
 Vermont, West Virginia, Wisconsin, Wyoming, ICE"
