State,Facility,Authorizing_Agent,Known_Capacity,Population_Prior_to_Releases,Overall_Pop_Reduction_or_Total_Number_of_Releases,releases_only_or_mix,Has_detailed_breakdown,Parole_Tech_Violation ,Lower_Level_NonViolent_Crimes,Short_Time_Left_on_Sentence,Vulnerable_Populations,Other,Date,Legal_Filing,Source,Permalinks,Additional_Notes,
Michigan,Statewide,Gov,,38053,1958,Mix,Yes - See columns I-M,,,,x,,6/9/20,,"4/14: https://www.woodtv.com/health/coronavirus/coronavirus-prompts-prisons-to-parole-some-early/
6/9: https://www.freep.com/story/news/local/michigan/2020/06/09/michigan-prison-population-drops-coronavirus/5326185002/",https://perma.cc/325U-WKCV; https://perma.cc/UA3W-U7ER,"Accelerated parole, including possible emphasis on those over 60 with medical conditions, decreased admission from county jails and courts, few technical parole violations being met with incarceration.",
Nebraska,Statewide,Parole Board,,,,Releases only,Yes - See columns I-M,,,,,x,5/13/20,,https://www.grandforksherald.com/news/crime-and-courts/6488747-North-Dakota-approves-early-release-for-more-state-prisoners-amid-coronavirus-crisis,perma.cc/NPE7-BDXB,Parole Board approved early release of 119 people due to Covid 19.  Should be out by May 31., 
New Jersey,Statewide,Governor,,"20,000",54,Releases only,Yes - See columns I-M,,x,x,x,,4/24/20,,https://www.nj.com/coronavirus/2020/04/first-wave-of-50-inmates-approved-for-release-from-nj-prisons-under-murphys-order.html,perma.cc/JYZ8-J6L8,"50 of 1100, released pursuant to Exec. Order covering people over 60, at medical high risk, within 3 months of release, recently considered for parole (no sex assault, murder convictions eligible)", 
New Mexico,Statewide,Governor,,6700,11,Releases only,Yes - See columns I-M,,x,x,,,4/6/20,No,https://www.abqjournal.com/1440938/gov-orders-early-release-of-some-inmates-from-prison.html,perma.cc/U5DZ-BXHR,"Less than 30 days to release with a parole plan in place.  Excludes many crimes, including all sex crimes",
New Mexico,Statewide,Governor,,,60,Releases only,Yes - See columns I-M,,x,x,,,6/27/20,No,http://nmindepth.com/2020/06/27/massive-covid-19-outbreak-at-a-southern-nm-prison-hits-just-one-type-of-inmates-sex-offenders-thats-by-design/?utm_source=The+Marshall+Project+Newsletter&utm_campaign=30521e58ea-EMAIL_CAMPAIGN_2020_06_30_11_42&utm_medium=email&utm_term=0_5e02cdad9d-30521e58ea-166145513,https://perma.cc/AKN2-LLYD,71 people released altogether from prison system (I subtracted the 11 reported earlier on line above), 
New York,Statewide,Governor,,41000,8,Releases only,Yes - See columns I-M,,,,x,x,5/5/20,Yes,https://www.cbsnews.com/news/coronavirus-new-york-prisons-pregnant-women-freed-covid-19/,perma.cc/94XV-SC2V,Governor released 8 pregnant women with less than 6 months on sentence for non-violent felonies,
North Carolina,Statewide,,,,667,Releases only,No,,,,,,5/3/20,,https://www.cbs17.com/news/north-carolina-news/hundreds-of-inmates-released-early-from-nc-prisons-over-covid-19-risk/,perma.cc/XQU5-RQCW,"Inmates who are released early are non-violent offenders who have underlying health conditions, are pregnant or who are at high-risk for the virus. An additional 182 are serving the remainder of their sentence outside of prison under strict conditions.", 
North Carolina,Statewide,,,34850,1083,Mix,Yes - See columns I-M,,x,x,x,,5/7/20,,https://www.usnews.com/news/best-states/virginia/articles/2020-05-06/outer-banks-counties-announce-date-for-reopening-to-visitors,perma.cc/2VFM-UGHU,"Describes sentence modification for vulnerable older people (192, including 3 pregnant women); 485 discretionary sentencing credits. This accounts for some the 667 described above.  Older for men is over 65; for women is over 50, as reported in article.",
North Carolina,Statewide,,,,200,Releases only,No,,,,,,5/11/20,,https://www.wcnc.com/article/news/health/coronavirus/virus-directives-mean-hundreds-more-nc-prisoners-go-home/275-30e42a25-2937-4310-8272-1f81530da659,perma.cc/R66H-U7TK,Article doesn't provide specific details, 
North Dakota,Statewide,State Parole Board,1512,1794,333,Mix,Yes - See columns I-M,,,x,x,x,5/26/20,,"https://www.kfyrtv.com/content/news/More-than-100-DOCR-inmates-granted-early-parole-due-to-COVID-19-570318211.html
https://www.grandforksherald.com/newsmd/coronavirus/6506165-As-North-Dakota-slashes-its-prison-population-amid-pandemic-other-states-lag-behind",perma.cc/9AZW-DM7U,"Early parole for 119 people for covid reasons.  DOCS said getting out those over 50 was important, but not clear that is who was released.  Some reduced population due to not accepting new admissions to the system.",
Ohio,Statewide,"Governor, State Parole Board",,49762,167,Releases only,Yes - See columns I-M,,x,x,x,,4/7/20,No,https://www.dispatch.com/news/20200407/coronavirus-ohio-gov-mike-dewine-seeks-release-of-167-prisoners-to-slow-outbreak,perma.cc/5ZVB-Q8BW,"Release of pregnant, 60+ yrs old, minimum-security level prisoners close to release date, via parole and the state's Overcrowding Emergency Statute", 
Oklahoma,Statewide,Governor,,24562,775,Releases only,Yes - See columns I-M,,x,x,,,4/10/20,No,https://kfor.com/health/coronavirus/gov-stitt-approves-hundreds-of-prison-commutations-to-mitigate-coronavirus-spread/?eType=EmailBlastContent&eId=07a90610-fdf3-4e1b-994a-712a02c5065c,perma.cc/27LB-CQ2J,"Commutations and early releases (856 approved, 81 to be released in December)", 
Oregon,Statewide,Governor,,,57,Releases only,Yes - See columns I-M,,,,x,,6/25/20,,https://www.opb.org/news/article/oregon-governor-commutes-57-prison-sentences-covid-19/,https://perma.cc/EXJ6-42ZY,Commutations for people vulnerable to harm from Covid.  Makes a tiny dent in density reductions for state,
