Name,Street,City,State,ZIP,ACTState,
COYOTE RIDGE CORRECTIONS CENTER,1301 N EPHRATA AVE,Connell,WASHINGTON,99326,WASHINGTON,
CPA HARTFORD - CSSD AIC,119-121 WASHINGTON STREET,HARTFORD,CONNECTICUT,6106,CONNECTICUT,
CRAGGY CORRECTIONAL CENTER,2992 RIVERSIDE DR.,ASHEVILLE,NORTH CAROLINA,28804,NORTH CAROLINA,
Craine House Work Release,3535 North Pennsylvania,Indianapolis,INDIANA,46208,INDIANA,
CRAVEN CORRECTIONAL INSTITUTION,600 ALLIGATOR ROAD,VANCEBORO,NORTH CAROLINA,28586,NORTH CAROLINA,
CREMER THERAPEUTIC COMMUNITY CENTER,689 State Road O,Fulton,MISSOURI,65251,MISSOURI,
CROSS CITY CORRECTIONAL INST WORK CAMP,315 N.E. 255TH STREET,CROSS CITY,FLORIDA,32628,FLORIDA,
CROSS CITY CORRECTIONAL INSTITUTION,568 NE 255TH STREET,CROSS CITY,FLORIDA,32628,FLORIDA,
Crosspoint CSC,420 Baltimore St.,San Antonio,FEDERAL,78215,TEXAS,
CROSSROADS ADULT TRANSITIONAL CENTER,3210 W. Arthington,Chicago,ILLINOIS,60624,ILLINOIS,
CROSSROADS CORRECTIONAL CENTER,115 EAST PENCE ROAD,CAMERON,MISSOURI,64429,MISSOURI,
CROSSROADS CORRECTIONAL CENTER - CCA,75 HEATH ROAD,SHELBY,MONTANA,59474,MONTANA,
CROWLEY COUNTY CORRECTIONAL FACILITY- CSC,6564 HIGHWAY 96,OLNEY SPRINGS,COLORADO,81062,COLORADO,
CSC - DISMAS HOUSE OF ATLANTA WEST,300 WENDELL COURT,ATLANTA,GEORGIA,30336,GEORGIA,
CT RENNAISSANCE - DRUG TREATMENT,31 WOLCOTT STREET,WATERBURY,CONNECTICUT,6702,CONNECTICUT,
CTC West,15380 Monica Street,Detroit,MICHIGAN,48238,MICHIGAN,
CTS - Russell,1407 West Jefferson Street,Louisville,KENTUCKY,40203,KENTUCKY,
CUESTA CONSERVATION CAMP,635 N SANTA ROSA ST,SAN LUIS OBISPO,CALIFORNIA,93405,CALIFORNIA,
CUMBERLAND CAMP,14601 BURBRIDGE RD SE,CUMBERLAND,FEDERAL,21502,MARYLAND,
CUMBERLAND FCI,14601 BURBRIDGE RD SE,CUMBERLAND,FEDERAL,21502,MARYLAND,
CUMMINS UNIT,2540 ST. HIGHWAY 388,GOULD,ARKANSAS,71643,ARKANSAS,
CURT FORBES RESIDENTIAL CENTER,111 N SHERMAN AVENUE,AMES,IOWA,50010,IOWA,
D. Ray James Corr Facl CI,HIGHWAY 252 EAST,FOLKSTON,FEDERAL,31537,GEORGIA,
DADE CORRECTIONAL INSTITUTION,19000 SW 377TH STREET,FLORIDA CITY,FLORIDA,33034,FLORIDA,
Dakota Counseling Institute - Stepping Stones,910 West Havens Avenue,SD,SOUTH DAKOTA,57301,SOUTH DAKOTA,
DAKOTA WOMEN'S CORRECTIONAL & REHAB CENTER,440 MCKENZIE STREET,NEW ENGLAND,NORTH DAKOTA,58647,NORTH DAKOTA,
DALBY CI,805 N AVENUEF,POST,TEXAS,79356,TEXAS,
DALHART UNIT,11950 FM 998,Dalhart,TEXAS,79022,TEXAS,
DALLAS TRANSITIONAL CENTER,899 North Stemmons Freeway,Dallas,TEXAS,75207,TEXAS,
Damascus Way - Golden Valley,5730 Olson Memorial Hwy,Golden Valley,MINNESOTA,55422,MINNESOTA,
DAMASCUS WAY - Rochester,1449 Fourth Avenue SE,Rochester,MINNESOTA,55904,MINNESOTA,
DAN RIVER PRISON WORK FARM,981 MURRAY ROAD,YANCEYVILLE,NORTH CAROLINA,27379,NORTH CAROLINA,
DANBURY - CAMP,ROUTE 37,DANBURY,FEDERAL,6811,CONNECTICUT,
Danbury FCI,ROUTE 37,DANBURY,FEDERAL,6811,CONNECTICUT,
DANIEL WEBSTER WALLACE UNIT,1675 S. FM 3525,Colorado City,TEXAS,79512,TEXAS,
DANVILLE CORRECTIONAL CENTER,3820 East Main Street,Danville,ILLINOIS,61834,ILLINOIS,
DARRINGTON UNIT,59 DARRINGTON ROAD,Rosharon,TEXAS,77583,TEXAS,
DAVENPORT RESIDENTIAL FACILITY,1330 W 3RD STREET,DAVENPORT,IOWA,52802,IOWA,
DAVENPORT WORK RELEASE CENTER,605 MAIN STREET,DAVENPORT,IOWA,52802,IOWA,
DAVID WADE CORRECTIONAL CENTER,670 BELL HILL ROAD,HOMER,LOUISIANA,71040,LOUISIANA,
DAVIDSON CORRECTIONAL CENTER,1400 THOMASON ST,LEXINGTON,NORTH CAROLINA,27292,NORTH CAROLINA,
DAVIS COMMUNITY WORK CENTER,3297 N 369 Road,Holdenville,OKLAHOMA,74848,OKLAHOMA,
DAVIS CORRECTIONAL FACILITY - CCA,6888 EAST 133RD ROAD,HOLDENVILLE,OKLAHOMA,74848,OKLAHOMA,
DAWSON COUNTY DETENTION CENTER,440 COLORADO BLVD.,GLENDIVE,MONTANA,59330,MONTANA,
DAWSON STATE JAIL,106 WEST COMMERCE STREET,Dallas,TEXAS,75265,TEXAS,
DAYTON CORRECTIONAL INSTITUTION,4104 GERMANTOWN ST,DAYTON,OHIO,45417,OHIO,
DAYTONA BEACH WORK RELEASE CENTER,3601 U.S. HIGHWAY 92,DAYTONA BEACH,FLORIDA,32124,FLORIDA,
DEADWOOD CONSERVATION CAMP,17148 MC ADAMS CREEK ROAD,FORT JONES,CALIFORNIA,96032,CALIFORNIA,
DECATUR ADULT TRANSITIONAL CENTER,2175 E PERSHING ROAD,DECATUR,ILLINOIS,62526,ILLINOIS,
DECATUR COMMUNITY Based Facility,1401 Highway 20 West,Decatur,ALABAMA,35601,ALABAMA,
DECATUR COOUNTY PRISON,1153 AIRPORT ROAD,BAINBRIDGE,GEORGIA,39817,GEORGIA,
DECATUR CORRECTIONAL CENTER,2310 E MOUND ROAD,DECATUR,ILLINOIS,62526,ILLINOIS,
DEEP MEADOW CORRECTIONAL CENTER,3500 Woods Way,State Farm,VIRGINIA,23160,VIRGINIA,
DEER RIDGE CORRECTIONAL MINIMUM,3920 EAST ASHWOOD ROAD,MADRAS,OREGON,97741,OREGON,
DEERFIELD CORRECTIONAL CENTER,21360 DEERFIELD DRIVE,CAPRON,VIRGINIA,23829,VIRGINIA,
DEERFIELD WORK CENTER FOR MEN,15172 OLD BELFIELD ROAD,CAPRON,VIRGINIA,23829,VIRGINIA,
DEERFIELD WORK CENTER FOR WOMEN,15080 OLD BELFIELD ROAD,CAPRON,VIRGINIA,23829,VIRGINIA,
DELORES J BAYLOR WOMENS CORRECTIONAL INSTITUTION,660 BAYLOR BLVD,NEW CASTLE,DELAWARE,19720,DELAWARE,
DELTA CONSERVATION CAMP,6246 LAMBIE ROAD,SUISUN CITY,CALIFORNIA,94585,CALIFORNIA,
DELTA CORRECTIONAL CENTER,4102 SAWMILL MESA ROAD,DELTA,COLORADO,81416,COLORADO,
DELTA REGIONAL UNIT,880 EAST GAINES STREET,DERMOTT,ARKANSAS,71638,ARKANSAS,
DEMPSIE HENLEY STATE JAIL,7581 Hwy 321,Dayton,TEXAS,77535,TEXAS,
DENMAR CORRECTIONAL CENTER,HC64 BOX 125,HILLSBORO,WEST VIRGINIA,24946,WEST VIRGINIA,
DENVER RECEPTION & DIAGNOSTIC CENTER,10900 SMITH ROAD,DENVER,COLORADO,80239,COLORADO,
DENVER WOMEN'S CORRECTIONAL FACILITY,3600 HAVANA,DENVER,COLORADO,80239,COLORADO,
DES MOINES WOMEN'S RESIDENTIAL FACILITY,1917 HICKMAN ROAD,DES MOINES,IOWA,50314,IOWA,
DESOTO ANNEX,HIGHWAY 70 EAST,ARCADIA,FLORIDA,34266,FLORIDA,
DESOTO CORRECTIONAL INSTITUTION,HIGHWAY 70 EAST,"ARCADIA, FL",FLORIDA,34266,FLORIDA,
DEUEL VOCATIONAL INSTITUTION,23500 KASSON ROAD,TRACY,CALIFORNIA,95304,CALIFORNIA,
DEVENS CAMP,42 PATTON ROAD,AYER,FEDERAL,1432,MASSACHUSETTS,
DEVENS FMC,42 PATTON ROAD,AYER,FEDERAL,1432,MASSACHUSETTS,
DEVIL'S GARDEN CONSERVATION CAMP,2300 COUNTY RD 74,ALTURAS,CALIFORNIA,96101,CALIFORNIA,
DIAGNOSTIC & EVALUATION CENTER,3220 WEST VAN DORN,LINCOLN,NEBRASKA,68522,NEBRASKA,
DIBOLL CORRECTIONAL CENTER,1604 S 1ST STREET,Diboll,TEXAS,75941,TEXAS,
DICK CONNER CORRECTIONAL CENTER,129 CONNER ROAD,HOMINY,OKLAHOMA,74035,OKLAHOMA,
DICK WARE TRANSFER FACILITY,1681 South FM 3525,Colorado City,TEXAS,79512,TEXAS,
DIERSEN CHARTIES MEMPHIS,1629 WINCHESTER ROAD,MEMPHIS,TENNESSEE,38116,TENNESSEE,
DIERSEN NASHVILLE,808 LEA STREET,NASHVILLE,TENNESSEE,37203,TENNESSEE,
DILLWYN CORRECTIONAL CENTER,1522 PRISON ROAD,DILLWYN,VIRGINIA,23936,VIRGINIA,
DINSMORE WORK RELEASE CENTER,13200 OLD KINGS ROAD,JACKSONVILLE,FLORIDA,32219,FLORIDA,
Dismas CCC - Tucson,3443 S. Richey Blvd,Tucson,ARIZONA,85713,ARIZONA,
Dismas Charities - Diersen,128 West Oaks street,Louisville,KENTUCKY,40210,KENTUCKY,
DISMAS CHARITIES - LEXINGTON,909 GEORGETOWN STREET,LEXINGTON,KENTUCKY,40511,KENTUCKY,
DISMAS CHARITIES - LOUISVILLE,124 WEST OAK STREET,LOUISVILLE,KENTUCKY,40203,KENTUCKY,
DISMAS CHARITIES - PORTLAND,1501 LYTLE STREET,LOUISVILLE,KENTUCKY,40203,KENTUCKY,
DISMAS CHARITIES - ST. ANN'S,1515 ALGONQUIN PARKWAY,LOUISVILLE,KENTUCKY,40210,KENTUCKY,
Dismas Charities - St. Patrick's,1301 West Market Street,Louisville,KENTUCKY,40203,KENTUCKY,
Dismas Charities CCC,307 N. Church Street,Greensboro,NORTH CAROLINA,27401,NORTH CAROLINA,
DISMAS CHARITIES OWENSBORO,615 CARLTON DRIVE,OWENSBORO,KENTUCKY,42303,KENTUCKY,
"DISMAS CHARITIES, CSC - Albuquerque","2331 MENAUL BLVD, NE",ALBUQUERQUE,NEW MEXICO,87107,NEW MEXICO,
"Dismas Charities, CSC - El Paso",7011 ALAMEDA AVENUE,El Paso,TEXAS,79915,TEXAS,
"Dismas Charities, CSC - Laredo",6752 GILBERT ROAD,Laredo,TEXAS,78041,TEXAS,
"DISMAS CHARITIES, CSC - Las Cruces",1595 W PICACHO,LAS CRUCES,NEW MEXICO,88005,NEW MEXICO,
"Dismas Charities, CSC - Midland",24 INDUSTRIAL LOOP,Midland,TEXAS,79701,TEXAS,
"Dismas House Charities, Inc",141 NW 1st avenue,Dania,FLORIDA,33004,FLORIDA,
Dismas House of Macon,744 2nd Street,Macon,GEORGIA,31201,GEORGIA,
Dismas House of Saint Louis,5025 Cote Brillainte,Saint Louis,MISSOURI,63113,MISSOURI,
DIXON CORRECTIONAL CENTER,2600 N BRINTON AVENUE,DIXON,ILLINOIS,61021,ILLINOIS,
DIXON CORRECTIONAL INSTITUTE,5568 HIGHWAY 68,JACKSON,LOUISIANA,70748,LOUISIANA,
DIXON SPRINGS IMPACT INCARSERATION PROGRAM,"R. R. 2, Box 500",Golconda,ILLINOIS,62938,ILLINOIS,
DODGE CORRECTIONAL INSTITUTION,1 W. LINCOLN STREET,WAUPUN,WISCONSIN,53963,WISCONSIN,
DODGE STATE PRISON,2971 OLD BETHEL ROAD,CHESTER,GEORGIA,31012,GEORGIA,
DOLPH BRISCOE UNIT,1459 West Hwy 85,Dilley,TEXAS,78017,TEXAS,
DONALDSON CORRECTIONAL FACILITY,100 WARRIOR LANE,BESSEMER,ALABAMA,35023,ALABAMA,
DOOLY STATE PRISON,1412 PLUNKETT ROAD,UNADILLA,GEORGIA,31091,GEORGIA,
DOWNEAST CORRECTIONAL FACILITY,64 BASE ROAD,MACHIASPORT,MAINE,4655,MAINE,
DOWNSTATE CORRECTIONAL FACILITY,121 RED SCHOOLHOUSE ROAD,FISHKILL,NEW YORK,12524,NEW YORK,
DR. LANE MURRAY UNIT,1916 N HWY 36 BYPASS,Gatesville,TEXAS,76596,TEXAS,
DRAPELICK CENTER,1095 BKLUE HILLS AVENUE,BLOOMFIELD,CONNECTICUT,6002,CONNECTICUT,
DRAPER CORRECTIONAL FACILITY,2828 ALABAMA HIGHWAY 143,ELMORE,ALABAMA,36025,ALABAMA,
DRAPER STATE PRISON,P.O. Box 250,Draper,UTAH,84020,UTAH,
DRC (116),3200 HENRY AVENUE,PHILADELPHIA,PENNSYLVANIA,19129,PENNSYLVANIA,
Drug Abuse Correctional Center,4280 North Sherman Road,Winnebago,WISCONSIN,54985,WISCONSIN,
DUBLIN - CAMP,5701 8TH ST - Camp Parks,DUBLIN,FEDERAL,94568,CALIFORNIA,
Dublin FCI,5701 8TH ST - CAMP PARKS,DUBLIN,FEDERAL,94568,CALIFORNIA,
DUBUQUE RESIDENTIAL FACILITY,1494 ELM STREET,DUBUQUE,IOWA,52001,IOWA,
DULUTH FPC,4464 RALSTON DRIVE,DULUTH,MINNESOTA,55811,MINNESOTA,
DUPLIN CORRECTIONAL CENTER,364 HWY 11 SOUTH & 903,KENANSVILLE,NORTH CAROLINA,28349,NORTH CAROLINA,
DUQUOIN IMPACT INCARSERATION PROGRAM,"275 Agriland Acres, R.R. 1",DUQUOIN,ILLINOIS,62832,ILLINOIS,
DWIGHT CORRECTIONAL CENTER,23813 E. 3200 North Road,Dwight,ILLINOIS,60420,ILLINOIS,
"E.P. HORIZON MGT., LLC","1700 N. Horizon Blvd., Dorm F",Horizon City,TEXAS,79927,TEXAS,
EARNEST C. BROOKS CORRECTIONAL FACILITY,2500 SOUTH SHERIDAN DRIVE,MUSKEGON HEIGHTS,MICHIGAN,49444,MICHIGAN,
EAST ARKANSAS REGIONAL UNIT,326 LEE 601,BRICKEYS,ARKANSAS,72320,ARKANSAS,
EAST BATON ROUGE TWP,2867 GENERAL ISSAC SMITH AVENUE,BATON ROUGE,LOUISIANA,70807,LOUISIANA,
EAST BOISE COMMUNITY WORK CENTER,2366 OLD PENITENTIARY RD.,BOISE,IDAHO,83712,IDAHO,
EAST FELICIANA CONTRACT TWP,12306 HAYNES STREET,CLINTON,LOUISIANA,70722,LOUISIANA,
EAST JERSEY STATE PRISON,1100 Rahway Avenue,Avenel,NEW JERSEY,7001,NEW JERSEY,
EAST MISSISSIPPI CORRECTIONAL FACILITY,10641 HIGHWAY 80 WEST,MERIDIAN,MISSISSIPPI,39307,MISSISSIPPI,
EAST MOLINE CORRECTIONAL CENTER,100 Hillcrest Road,East Moline,ILLINOIS,61244,ILLINOIS,
East Moline Work Camp,100 Hillcrest Road,East Moline,ILLINOIS,61244,ILLINOIS,
EAST TEXAS MULTI-USE FACILITY,900 Industrial Drive,Henderson,TEXAS,75653,TEXAS,
EASTERLING CORRECTIONAL FACILITY,200 WALLACE DRIVE,CLIO,ALABAMA,36017,ALABAMA,
EASTERN CORRECTIONAL INSTITUTION,30420 REVELLS NECK ROAD,WESTOVER,MARYLAND,21890,MARYLAND,
EASTERN CORRECTIONAL INSTITUTION,2821 HWY 903 N,MAURY,NORTH CAROLINA,28554,NORTH CAROLINA,
EASTERN CORRECTIONAL INSTITUTION-ANNEX,30430 REVELLS NECK ROAD,WESTOVER,MARYLAND,21890,MARYLAND,
EASTERN KENTUCKY CORRECTIONAL COMPLEX,200 ROAD TO JUSTICE,WEST LIBERTY,KENTUCKY,41472,KENTUCKY,
EASTERN NY CORRECTIONAL  FACILITY,30 INSTITUTION ROAD,NAPANOCH,NEW YORK,12458,NEW YORK,
EASTERN OREGON CORRECTIONAL INSTITUTION,2500 WESTGATE,PENDLETON,OREGON,97801,OREGON,
EASTERN PRE-RELEASE UNIT,700 FLAT IRON SQUARE ROAD,CHURCH HILL,MARYLAND,21623,MARYLAND,
EASTERN RECEPTION DIAGNOSTIC & CORR CTR,2727 HIGHWAY K,BONNE TERRE,MISSOURI,63628,MISSOURI,
EASTHAM UNIT,2665 PRISON ROAD #1,Lovelady,TEXAS,75851,TEXAS,
Ecumenical House,6753 Cezanne Avenue,Baton Rouge,LOUISIANA,70806,LOUISIANA,
EDDIE WARRIOR CORRECTIONAL CENTER,400 OAK STREET,TAFT,OKLAHOMA,74463,OKLAHOMA,
EDDY CENTER,1 LABELLA CIRCLE,MIDDLETOWN,CONNECTICUT,6457,CONNECTICUT,
EDEN CI,702 EAST BROADWAY,EDEN,TEXAS,76837,TEXAS,
EDGECOMBE CORRECTIONAL FACILITY,611 Edgecombe Avenue,New York,NEW YORK,10032,NEW YORK,
EDGEFIELD FCI,501 GARY HILL ROAD,EDGEFIELD,SOUTH CAROLINA,29824,SOUTH CAROLINA,
EDGEFIELD-CAMP,501 GARY HILL ROAD,EDGEFIELD,SOUTH CAROLINA,29824,SOUTH CAROLINA,
EDINBURGH CORRECTIONAL FACILITY,23RD & SCHOOLHOUSE RD,EDINBURGH,INDIANA,46124,INDIANA,
EDNA MAHAN CORRECTIONAL FACILITY FOR WOMEN,30 COUNTY ROUTE 513,Clinton,NEW JERSEY,8809,NEW JERSEY,
EEL RIVER CONSERVATION CAMP,3850 REDWOOD DR,REDWAY,CALIFORNIA,95560,CALIFORNIA,
EFFINGHAM COUNTY PRISON,321 HIGHWAY 119 SOUTH,SPRINGFIELD,GEORGIA,31329,GEORGIA,
EFFORTS FROM EX-CONVICTS,1514 8TH STREET NW,WASHINGTON,DISTRICT OF COLUMBIA,20001,DISTRICT OF COLUMBIA,
EL DORADO CORRECTIONAL FACILITY,1737 SE US HWY 54,EL DORADO,KANSAS,67042,KANSAS,
El Monte Center- Cornell Corrections,11750 Ramona Blvd,El Monte,CALIFORNIA,91732,CALIFORNIA,
EL PASO TRANSITIONAL CENTER  (SOUTH),1650 Horizon Blvd,El Paso,TEXAS,79928,TEXAS,
EL PASO TRANSITIONAL CENTER (NORTH),1700 Horizon Blvd.,"El Paso,",TEXAS,79928,TEXAS,
EL RENO FCI,4205 HIGHWAY 66 WEST,EL RENO,OKLAHOMA,73036,OKLAHOMA,
EL RENO-CAMP,4205 HIGHWAY 66 WEST,EL RENO,OKLAHOMA,73036,OKLAHOMA,
ELANOR CHASE HOUSE WORK RELEASE,427 W 7th Ave,Spokane,WASHINGTON,99204,WASHINGTON,
ELAYN HUNT CORRECTIONAL CENTER,6925 HIGHWAY 74,ST. GABRIEL,LOUISIANA,70776,LOUISIANA,
ELBA COMMUNITY Based Facility,1620 BOSWELL STREET,ELBA,ALABAMA,36323,ALABAMA,
ELK CITY COMMUNITY WORK CENTER,1309 AIRPORT INDUSTRIAL ROAD,ELK CITY,OKLAHOMA,73648,OKLAHOMA,
ELKTON FCI,8730 SCROGGS ROAD,ELKTON,FEDERAL,44432,OHIO,
ELKTON FSL,8730 SCROGGS ROAD,ELKTON,FEDERAL,44432,OHIO,
ELLEN HALBERT SUBSTANCE ABUSE FELONY PUNISHMENT FACILITY,800 Ellen Halbert Drive,Burnet,TEXAS,78611,TEXAS,
ELLSWORTH CORRECTIONAL FACILITY,1607 STATE STREET,ELLSWORTH,KANSAS,67439,KANSAS,
ELMIRA CORRECTIONAL FACILITY,1879 DAVIS STREET,ELMIRA,NEW YORK,14901,NEW YORK,
ELMORE CORRECTIONAL FACILITY,3520 MARION SPILLWAY ROAD,ELMORE,ALABAMA,36025,ALABAMA,
ELY CONSERVATION CAMP,HORSE & CATTLE CAMP ROAD,ELY,NEVADA,89301,NEVADA,
ELY STATE PRISON,4569 NORTH STATE RT. 490,ELY,NEVADA,89301,NEVADA,
EMANUEL PROBATION DETENTION CTR,121 CASA DRIVE,TWIN CITY,GEORGIA,30471,GEORGIA,
EMANUEL WOMEN'S FACILITY,714 GUMLOG ROAD,SWAINSBORO,GEORGIA,30401,GEORGIA,
ENFIELD CORRECTIONAL INSTITUTION,289 SHAKER RD,ENFIELD,CONNECTICUT,6082,CONNECTICUT,
ENGLEWOOD - CAMP,9595 WEST QUINCY AVENUE,LITTLETON,FEDERAL,80123,COLORADO,
Englewood FCI,9595 WEST QUINCY AVENUE,LITTLETON,FEDERAL,80123,COLORADO,
ENID COMMUNITY CORRECTIONS CENTER,2020 E. MAINE AVENUE,ENID,OKLAHOMA,73701,OKLAHOMA,
ENTERPRISE HOUSE,500-532 WEST AVENUE,BRIDGEPORT,CONNECTICUT,6604,CONNECTICUT,
ERIE CENTER (304),137 W 2ND STREET,ERIE,PENNSYLVANIA,16507,PENNSYLVANIA,
ESTILL FCI,100 PRISON ROAD,ESTILL,FEDERAL,29918,SOUTH CAROLINA,
ESTILL-CAMP,100 PRISON ROAD,ESTILL,FEDERAL,29918,SOUTH CAROLINA,
EVANS CORRECTIONAL  INSTITUTION,610 HIGHWAY 9 WEST,BENNETTSVILLE,SOUTH CAROLINA,29512,SOUTH CAROLINA,
EVERGLADES CORRECTIONAL INSTITUTION,1599 SW 187TH AVE,MIAMI,FLORIDA,33194,FLORIDA,
FABIAN DALE DOMINGUEZ STATE JAIL,6535 Cagnon Road,San Antonio,TEXAS,78252,TEXAS,
FAIRBANKS CORRECTIONAL CENTER,1931 EGAN AVENUE,FAIRBANKS,ALASKA,99701,ALASKA,
FAIRTON CAMP,655 FAIRTON-MILLVILLE ROAD,FAIRTON,FEDERAL,8320,NEW JERSEY,
FAIRTON FCI,655 FAIRTON-MILLVILLE ROAD,FAIRTON,FEDERAL,8320,NEW JERSEY,
Fairview/Reynolds & Associates Inc.,1430 G Street NE,Washington,DISTRICT OF COLUMBIA,20002,DISTRICT OF COLUMBIA,
FAMILY FOUNDATIONS PROGRAM - FRESNO,2855 WEST WHITESBRIDGE AVENUE,FRESNO,CALIFORNIA,93706,CALIFORNIA,
Family Guidance Center at Triangle Center,120 North 11th Street,Springfield,ILLINOIS,62703,ILLINOIS,
FARMINGTON CORRECTIONAL CENTER,1012 WEST COLUMBIA STREET,FARMINGTON,MISSOURI,63640,MISSOURI,
FARQUHAR CATTLE RANCH,1132 COUNTY ROAD 73,GREENSBORO,ALABAMA,36744,ALABAMA,
FELLOWSHIP HOUSE,466 LONG HILL ROAD,GROTON,CONNECTICUT,6340,CONNECTICUT,
FELMERS CHANEY CORRECTIONAL CENTER,2825 NORHT 30TH STREET,MILWAUKEE,WISCONSIN,53210,WISCONSIN,
FEMALE REHABILITATIVE CORRECTIONAL COMMUNITY CENTER (FRCCC),1932 JESSIE STREET,BAKERSFIELD,CALIFORNIA,93305,CALIFORNIA,
FENNER CANYON CONSERVATION CAMP,FOREST SERVICE ROAD 4N55,VALYERMO,CALIFORNIA,93563,CALIFORNIA,
FENWICK HOUSE (NJAC),369-371 MARKET STREET,Patterson,NEW JERSEY,7501,NEW JERSEY,
FIELD HOUSE (VOA/N),45 LENOX AVENUE,East Orange,NEW JERSEY,7018,NEW JERSEY,
FISHKILL CORRECTIONAL FACILTY,18 Strack Drive,Beacon,NEW YORK,12508,NEW YORK,
FIVE POINTS CORRECTIONAL FACILITY,6600 STATE ROUTE 96,ROMULUS,NEW YORK,14541,NEW YORK,
FLAMBEAU CORRECTIONAL CENTER,N671 COUNTY RD M,HAWKINS,WISCONSIN,54530,WISCONSIN,
FLETCHER HOUSE (VOA/DV),517 PENN STREET,Camden,NEW JERSEY,8102,NEW JERSEY,
Florence Admax USP,5880 HWY 67 SOUTH,FLORENCE,COLORADO,81226,COLORADO,
Florence FCI,5880 HWY 67 SOUTH,FLORENCE,COLORADO,81226,COLORADO,
Florence High USP,5880 HWY 67 SOUTH,FLORENCE,COLORADO,81226,COLORADO,
FLORENCE MCCLURE WOMEN'S CORRECTIONAL CENTER,4370 SMILEY ROAD,NORTH LAS VEGAS,NEVADA,89115,NEVADA,
FLORENCE USP - CAMP,5880 HWY 67 SOUTH,FLORENCE,COLORADO,81226,COLORADO,
FLORIDA STATE PRISON MAIN,7819 NW 228TH STREET,RAIFORD,FLORIDA,32026,FLORIDA,
FLORIDA STATE PRISON WEST,S.R. 16 WEST,RAIFORD,FLORIDA,32026,FLORIDA,
FLOWOOD RESTITUTION CENTER,1632 HIGHWAY 80 EAST,FLOWOOD,MISSISSIPPI,39232,MISSISSIPPI,
FLOYD COUNTY PRISON,"329 BLACK BLUFF ROAD, SW",ROME,GEORGIA,30161,GEORGIA,
FLUVANNA CORRECTIONAL CENTER,144 Prison Lane Rt. 250 west,Troy,VIRGINIA,22974,VIRGINIA,
FOLSOM STATE PRISON,300 PRISON ROAD,REPRESA,CALIFORNIA,95671,CALIFORNIA,
FOOTHILLS CORRECTIONAL INSTITUTION,5150 WESTERN AVE,MORGANTON,NORTH CAROLINA,28655,NORTH CAROLINA,
FORMBY STATE JAIL,998 COUNTY ROAD AA,Plainview,TEXAS,79072,TEXAS,
Forrest City FCI,1400 DALE BUMPERS ROAD,FORREST CITY,ARKANSAS,72335,ARKANSAS,
FORREST CITY FCI - CAMP,1400 DALE BUMPERS ROAD,FORREST CITY,ARKANSAS,72335,ARKANSAS,
Forrest City Med FCI,1400 DALE BUMPERS ROAD,FORREST CITY,ARKANSAS,72335,ARKANSAS,
FORREST COUNTY COMMUNITY WORK CENTER,112 ALCORN AVENUE,HATTIESBURG,MISSISSIPPI,39401,MISSISSIPPI,
FORSYTH CORRECTIONAL CENTER,307 CRAFT DRIVE,WINSTON-SALEM,NORTH CAROLINA,27105,NORTH CAROLINA,
FORT DES MOINES COMMUNITY  CORRECTIONS FACILITY - BLDG 68,68 THAYER STREET,DES MOINES,IOWA,50315,IOWA,
FORT DES MOINES COMMUNITY CORRECTIONS FACILITY - BRIDGES UNIT,65 GRUBER STREET,DES MOINES,IOWA,50314,IOWA,
FORT DES MOINES COMMUNITY CORRECTIONS FACILITY - HONORS UNIT,65 GRUBER STREET,DES MOINES,IOWA,50315,IOWA,
FORT DES MOINES RESIDENTIAL FACILITY - BLDG 70,70 THAYER STREET,DES MOINES,IOWA,50315,IOWA,
FORT DIX CAMP,5756 HARTFORD & POINTVILLE ROAD,FORT DIX,NEW JERSEY,8640,NEW JERSEY,
FORT DIX FCI,5756 HARTFORD & POINTVILLE RD,FORT DIX,NEW JERSEY,8640,NEW JERSEY,
FORT DODGE CORRECTIONAL FACILITY,1550 L STREET,FORD DODGE,IOWA,50501,IOWA,
FORT DODGE RESIDENTIAL CENTER,311 1ST AVENUE S,FORT DODGE,IOWA,50501,IOWA,
FORT STOCKTON TRANSFER FACILITY,1536 IH 10 East,Fort Stockton,TEXAS,79735,TEXAS,
Fort Worth FCI,3150 HORTON ROAD,FORT WORTH,TEXAS,76119,TEXAS,
FORT WORTH TRANSITIONAL CENTER,600 North Henderson,Fort Worth,TEXAS,76107,TEXAS,
FOUNTAIN CORRECTIONAL CENTER FOR WOMEN,300 FOUNTAIN SCHOOL ROAD,ROCKY MOUNT,NORTH CAROLINA,27804,NORTH CAROLINA,
FOUNTAIN CORRECTIONAL FACILITY,9677 HIGHWAY 21 NORTH,ATMORE,ALABAMA,36503,ALABAMA,
FOUR MILE CORRECTIONAL CENTER,E US HIGHWAY 50 & EVANS BOULEVARD,CANON CITY,COLORADO,81212,COLORADO,
FOX LAKE CORRECTIONAL INSTITUTION,W10237 LAKE EMILY RD,FOX LAKE,WISCONSIN,53933,WISCONSIN,
FOX VALLEY ADULT TRANSITION CENTER,1329 North Lake Street,Aurora,ILLINOIS,60506,ILLINOIS,
FRANCISQUITO CONSERVATION CAMP,35100 N SAN FRANCISCO CANYON RD,SANTA CLARITA,CALIFORNIA,91390,CALIFORNIA,
FRANK LEE Work Release,5305 Ingram Rd,Deatsville,ALABAMA,36022,ALABAMA,
