Name,Street,City,State,ZIP,ACTState,
ASPC-SAFFORD FORT GRANT,15500 S. FORT GRANT ROAD,SAFFORD,ARIZONA,85643,ARIZONA,
ASPC-TUCSON,10000 SOUTH WILMOT,TUCSON,ARIZONA,85734,ARIZONA,
ASPC-TUCSON SOUTHERN ARIZONA CORRECTIONAL RELEASE CENTER(SACRC),1275 W. STAR PASS BLVD.,TUCSON,ARIZONA,85734,ARIZONA,
ASPC-WINSLOW,2100 SOUTH HWY 87,WINSLOW,ARIZONA,86047,ARIZONA,
ASPC-WINSLOW APACHE UNIT,38322 US HWY 180,ST. JOHNS,ARIZONA,85936,ARIZONA,
ASPC-YUMA,7125 EAST JUAN SANCHEZ BLVD,SAN LUIS,ARIZONA,85349,ARIZONA,
ATHENS-CLARK COUNTY CORRECTIONAL INSTITUTION,2825 COUNTY FARM ROAD,ATHENS,GEORGIA,30605,GEORGIA,
ATKINS HOUSE (206),307 EAST KING STREET,YORK,PENNSYLVANIA,17403,PENNSYLVANIA,
ATLANTA - CAMP,601 MCDONOUGH BLVD SE,ATLANTA,GEORGIA,30315,GEORGIA,
ATLANTA TRANSITIONAL CENTER,"322 PONCE DE LEON AVENUE, NE",ATLANTA,GEORGIA,30308,GEORGIA,
ATLANTA USP,601 MCDONOUGH BLVD SE,ATLANTA,GEORGIA,30315,GEORGIA,
ATLANTIC WORK RELEASE CENTER,263 FAIRGROUNDS ROAD,WEST PALM BEACH,FLORIDA,33411,FLORIDA,
ATMORE COMMUNITY WORK CENTER,9947 Highway 21 North,Atmore,ALABAMA,36503,ALABAMA,
ATTICA CORRECTIONAL FACILITY,639 Exchange Street,Attica,NEW YORK,14011,NEW YORK,
ATWATER - CAMP,1 FEDERAL WAY,ATWATER,CALIFORNIA,95301,CALIFORNIA,
Atwater USP,1 FEDERAL WAY,ATWATER,CALIFORNIA,95301,CALIFORNIA,
AUBURN CORRECTIONAL FACILITY,135 State Street,Auburn,NEW YORK,13024,NEW YORK,
AUGUSTA CORRECTIONAL FACILITY,1821 ESTALINE VALLEY ROAD,CRAIGSVILLE,VIRGINIA,24430,VIRGINIA,
AUGUSTA STATE MEDICAL PRISON,3001 GORDON HIGHWAY,GROVETOWN,GEORGIA,30813,GEORGIA,
AUGUSTA TRANSITIONAL CENTER,601 TAYLOR STREET,AUGUSTA,GEORGIA,30901,GEORGIA,
AUSTIN TRANSITIONAL CENTER,3154 East Hwy 71,Del Valle,TEXAS,78617,TEXAS,
AUTRY STATE PRISON,3178 MT ZION CHURCH ROAD,PELHAM,GEORGIA,31779,GEORGIA,
AVALON CORRECTIONAL CENTER,302 W ARCHER STREET,TULSA,OKLAHOMA,74103,OKLAHOMA,
AVENAL STATE PRISON,1 KINGS WAY,AVENAL,CALIFORNIA,93204,CALIFORNIA,
Avenue J Volunteers of America,2710 AVENUE J,Ft. Worth,TEXAS,76105,TEXAS,
AVERY/MITCHELL CORRECTIONAL INSTITUTION,600 AMITY PARK ROAD,SPRUCE PINE,NORTH CAROLINA,28777,NORTH CAROLINA,
AVON PARK CORRECTIONAL INST WORK CAMP,CR 64 EAST,AVON PARK,FLORIDA,33826,FLORIDA,
AVON PARK CORRECTIONAL INSTITUTION,CR 64 EAST,AVON PARK,FLORIDA,33826,FLORIDA,
AVOYELLES CORRECTIONAL CENTER,1630 PRISON ROAD,COTTONPORT,LOUISIANA,71327,LOUISIANA,
AVOYELLES SIMMESORT CORRECTIONAL CENTER,819 MARTIN LUTHER KING DRIVE,SIMMSPORT,LOUISIANA,71369,LOUISIANA,
B. B. RAYBURN CORRECTIONAL CENTER,27268 HIGHWAY 21,ANGIE,LOUISIANA,70426,LOUISIANA,
